,outlet,url,top_image,title,authors,publish_date,keywords,summary,text
0,nationalpost,http://www.nationalpost.com/category/news/,,,[],,[],,
1,nationalpost,http://www.nationalpost.com/category/news/national/,,National,[],,[],,
2,nationalpost,http://www.nationalpost.com/category/news/world/,,World,[],,[],,
3,nationalpost,http://www.nationalpost.com/category/news/national/reopening-canada/,,,[],,[],,
4,nationalpost,http://www.nationalpost.com/category/news/politics/,,,[],,[],,
5,nationalpost,http://www.nationalpost.com/news/canada/canadian-press-newsalert-no-charges-in-death-of-regis-korchinski-paquet-2/wcm/31d9b54e-d401-4eaf-8bcc-29dad2856c22/,,,[],,[],,
6,nationalpost,http://www.nationalpost.com/news/world/wisconsin-police-search-for-man-with-rifle-after-two-dead-one-wounded-during-gunfire-at-protests-over-shooting-of-jacob-blake/wcm/561b1b4c-a362-4836-8f30-4c39d4e84afc/,,,[],,[],,
7,nationalpost,http://www.nationalpost.com/news/world/why-the-accusation-that-jerry-falwell-jr-watched-his-wife-have-sex-especially-harms-his-image/wcm/499ad5dc-1773-455a-ad04-1d2c2b991ed3/,,,[],,[],,
8,nationalpost,http://www.nationalpost.com/news/politics/restaurants-make-plea-for-government-support-as-over-half-of-eateries-face-bankruptcy-in-next-three-months/wcm/501bc681-ee65-4f6f-a2c2-ca6900044918/,,,[],,[],,
9,nationalpost,http://www.nationalpost.com/news/politics/cra-to-launch-audit-pilot-project-to-see-if-fraud-is-prevalent-in-federal-wage-subsidy-program/wcm/099f9a40-1616-434d-872d-45e506c2a29c/,,,[],,[],,
10,nationalpost,https://financialpost.com/investing/mark-carney-to-head-esg-investing-at-brookfield-asset-management,https://smartcdn.prod.postmedia.digital/financialpost/wp-content/uploads/2020/08/mark-carney-2.jpg,Mark Carney to head ESG investing at Brookfield Asset Management,"['Bloomberg News', 'Scott Deveau', 'Jason Kelly']",,"['flatt', 'early', 'central', 'days', 'asset', 'esg', 'investing', 'management', 'businesses', 'mark', 'head', 'brookfield', 'carney', 'investments']","Carney, a former Goldman Sachs banker, ran central banks from the global financial crisis to the early days of the COVID-19 pandemic.
While it’s still early days, Brookfield contemplates that its ESG funds could acquire whole businesses as well as participate in investments in the firm’s other portfolios, Flatt said.
“Based on our fundraising capacity, the operating businesses and background that we have, and Mark’s relationships and strategic knowledge of this area, I think we can become a category killer in ESG investing,” Flatt said.
Climate ‘Discipline’The fund management industry’s growing focus on investments that take into account ESG issues has expanded into a US$30 trillion-plus business.
Brookfield was attractive to Carney because the firm is established in related businesses and understands the desire by institutional investors for ESG investments, the former central banker said.","Article content continued

“Every time we can bring in someone smarter than us and better than us, it’s going to be additive to the organization,” Flatt said.

Carney, a former Goldman Sachs banker, ran central banks from the global financial crisis to the early days of the COVID-19 pandemic. He became governor of the Bank of Canada in 2008 and moved over to the same role at the Bank of England in 2013, before leaving that post in March and returning to Canada.

While it’s still early days, Brookfield contemplates that its ESG funds could acquire whole businesses as well as participate in investments in the firm’s other portfolios, Flatt said.

“Based on our fundraising capacity, the operating businesses and background that we have, and Mark’s relationships and strategic knowledge of this area, I think we can become a category killer in ESG investing,” Flatt said. Brookfield will be targeting annual average returns in the mid-teens on the ESG funds.

Climate ‘Discipline’

The fund management industry’s growing focus on investments that take into account ESG issues has expanded into a US$30 trillion-plus business. The US SIF Foundation said in its 2018 report on sustainable, responsible and impact investing trends that more than one of every $4 under professional management is invested utilizing ESG criteria.

Brookfield was attractive to Carney because the firm is established in related businesses and understands the desire by institutional investors for ESG investments, the former central banker said."
11,nationalpost,http://www.nationalpost.com/news/ontario-reports-88-new-cases-of-covid-19-two-new-deaths-related-to-coronavirus/wcm/6b276f24-d6d9-4b5b-937e-95bb63397e4b/,,,[],,[],,
12,nationalpost,http://www.nationalpost.com/category/news//,,More news stories >,[],,[],,
13,nationalpost,http://www.nationalpost.com/category/news/politics//,,More politics stories >,[],,[],,
14,nationalpost,https://nationalpost.com/category/news/,https://dcs-static.prod.postmedia.digital/3.3.5/websites/images/np/favicon-np.ico,"Latest Breaking News, Headlines & Updates | National Post",[],,"['headlines', 'latest', 'breaking', 'saysthe', 'national', 'regis', 'officers', 'toronto', 'womans', 'special', 'balcony', 'unit', 'fell', 'updates', 'watchdog', 'post']","No charges against Toronto police in death of Regis Korchinski-Paquet who fell from balcony, watchdog saysThe Special Investigations Unit said six officers were in the 29-year-old woman’s home when she fell from the balcony in May, while her mother and brother were nearby","No charges against Toronto police in death of Regis Korchinski-Paquet who fell from balcony, watchdog says

The Special Investigations Unit said six officers were in the 29-year-old woman’s home when she fell from the balcony in May, while her mother and brother were nearby"
15,nationalpost,https://nationalpost.com/category/news/national/,https://dcs-static.prod.postmedia.digital/3.3.5/websites/images/np/favicon-np.ico,Latest National News | Headlines & Updates | National Post,[],,"['headlines', 'latest', 'saysthe', 'regis', 'national', 'officers', 'toronto', 'womans', 'special', 'balcony', 'unit', 'fell', 'updates', 'watchdog', 'post']","No charges against Toronto police in death of Regis Korchinski-Paquet who fell from balcony, watchdog saysThe Special Investigations Unit said six officers were in the 29-year-old woman’s home when she fell from the balcony in May, while her mother and brother were nearby","No charges against Toronto police in death of Regis Korchinski-Paquet who fell from balcony, watchdog says

The Special Investigations Unit said six officers were in the 29-year-old woman’s home when she fell from the balcony in May, while her mother and brother were nearby"
16,nationalpost,https://nationalpost.com/category/news/world/,https://dcs-static.prod.postmedia.digital/3.3.5/websites/images/np/favicon-np.ico,"World News, Updates, Headlines & Stories | National Post",[],,"['headlines', 'tell', 'national', 'france', 'telling', 'tact', 'world', 'women', 'uppolice', 'topless', 'updates', 'seen', 'cover', 'post', 'southern']","Going topless is a fundamental liberty, says France official after cops tell women to cover upPolice were forced to apologize for their 'blunder' and 'lack of tact' after they were seen telling women to cover up on a beach in southern France","Going topless is a fundamental liberty, says France official after cops tell women to cover up

Police were forced to apologize for their 'blunder' and 'lack of tact' after they were seen telling women to cover up on a beach in southern France"
17,nationalpost,https://nationalpost.com/category/news/national/reopening-canada/,https://dcs-static.prod.postmedia.digital/3.3.5/websites/images/np/favicon-np.ico,Reopening Canada | National Post,[],,"['outside', 'national', 'reopening', 'smoke', 'reopened', 'mirrors', 'turning', 'suppliers', 'mask', 'patios', 'statewhile', 'restaurants', 'canada', 'post']","'Smoke and mirrors': For restaurants and their suppliers, booming patios mask industry's fragile stateWhile reopened patios could look, from the outside, like the industry turning back on, some are cautioning that it is mostly an illusion","'Smoke and mirrors': For restaurants and their suppliers, booming patios mask industry's fragile state

While reopened patios could look, from the outside, like the industry turning back on, some are cautioning that it is mostly an illusion"
18,nationalpost,https://nationalpost.com/category/news/politics/,https://dcs-static.prod.postmedia.digital/3.3.5/websites/images/np/favicon-np.ico,"Latest Politics News | Headlines, Updates & Stories | National Post",[],,"['headlines', 'politics', 'newsletter', 'latest', 'receive', 'network', 'national', 'signing', 'postmedia', 'issue', 'unsubscribe', 'clicking', 'email', 'updates', 'reading', 'post']","First Reading NewsletterSign up to receive The First Reading newsletter your guide to the world of Canadian politics.
Email Address There was an error, please provide a valid email address.
Postmedia Network Inc. | 365 Bloor Street East, Toronto, Ontario, M4W 3L4 | 416-383-2300Thanks for signing up!
The next issue of First Reading Newsletter will soon be in your inbox.
We encountered an issue signing you up.","First Reading Newsletter

Sign up to receive The First Reading newsletter your guide to the world of Canadian politics. We're breaking the news, defining the issues and analyzing what matters.

Email Address There was an error, please provide a valid email address. By clicking on the sign up button you consent to receive the above newsletter from Postmedia Network Inc. You may unsubscribe any time by clicking on the unsubscribe link at the bottom of our emails. Postmedia Network Inc. | 365 Bloor Street East, Toronto, Ontario, M4W 3L4 | 416-383-2300

Thanks for signing up! A welcome email is on its way. If you don't see it please check your junk folder. The next issue of First Reading Newsletter will soon be in your inbox.

We encountered an issue signing you up. Please try again"
