,Unnamed: 0,topic_num,topics,num_articles,resid,category,probability
0,0,0,zoom financ file photo film festiv filter final,4328,1.0,local,92.90624246681475
1,1,1,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
2,2,2,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
3,3,3,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
4,4,4,art case health galleri artist burnabi photo covid,0,,covid-19,91.2498870717863
5,5,5,art cent govern artist canada canadian galleri trudeau,0,,politics,78.81686238775576
6,6,6,cent north price market restaur vancouv home park,0,,local,95.38694618299414
7,7,7,polic burnabi servic team communiti program funer citi,0,,local,51.727213741292566
8,8,8,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
9,9,9,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
10,10,10,school student car vehicl drive price engin wheel,0,,business,97.9212837190134
11,11,11,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
12,12,12,funer car burnabi trudeau vehicl home photo forest lawn,0,,local,38.83570953716082
13,13,13,food restaur school case richmond student polic cent,0,,local,31.13220343402638
14,14,14,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
15,15,15,school mask park citi student new west wear hous,0,,local,47.170397037024564
16,16,16,mask music cent wear langley hospit donat,0,,local,35.726570879879944
17,17,17,citi music film star news richmond theatr reader,0,,arts & entertainment,99.7514228740989
18,18,18,canada patient dr dental dentur canadian travel flight,0,,covid-19,53.419299522595786
19,19,19,langley editor art food home news ridg letter,0,,local,94.67276367331294
20,20,20,trudeau music minist chariti govern home prime,0,,politics,92.85748819285263
21,21,21,bowen island mask client estat communiti case,0,,covid-19,69.46645456575614
22,22,22,key number new bowen funer energi cycl citi west,0,,local,25.3916900186685
23,23,23,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
24,24,24,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
25,25,25,bowen new west island dentur toronto,0,,local,42.58718891629415
26,26,26,dentur dental restaur burnabi dr ontario patient reopen,0,,covid-19,70.43869643498104
27,27,27,bowen food star festiv health news island richmond,0,,local,37.84020294691545
28,28,28,burnabi richmond trudeau coquitlam citi busi news key number,0,,local,76.55612170674017
29,29,29,film student product burnabi school home screen drug,0,,local,49.856008614616506
30,30,30,insur music test burnabi loan school financi tax,0,,local,79.6241484494015
31,31,31,film dentur dog case theatr movi trudeau festiv,0,,local,94.62469382942899
32,32,32,plant water garden park music lake product dentur,0,,local,41.114707609172875
33,33,33,richmond hospit care home news senior canada jay,0,,local,30.333082092474022
34,34,34,drug coquitlam store overdos langley school custom citi,0,,local,75.87825450090958
