,topic_num,topics,num_articles,resid
0,0,famili just time peopl year home life day,349,0.9629049348939441
1,1,case health test covid new death outbreak hospit,113,0.8993935588246319
2,2,polic investig man offic charg rcmp vehicl incid,162,0.9279533752064354
3,3,player team game leagu season play nhl coach,137,0.9152905150906301
4,4,busi govern program tax billion pandem fund work,177,0.9477780752627465
5,5,car wheel vehicl engin drive rear litr model,57,0.8678712220355759
6,6,mask wear face cover mandatori public,52,0.8490976825653995
7,7,reopen stage restaur ontario open park citi theatr,113,0.9416608093110529
8,8,cent price sale market home real estat hous,83,0.9227754302024925
9,9,music perform artist art concert film musician song,115,0.9386126074595526
10,10,ridg mapl editor meadow letter mapleridgenews com,58,0.8969495605772673
11,11,langley chilliwack rcmp surrey com read facebook local,144,0.9482794795925064
12,12,flight canada court china trump canadian travel countri,164,0.9546270608991516
13,13,trudeau minist chariti prime program ethic student,41,0.8502773874498212
14,14,jay blue roger centr season game toronto,21,0.7092974056794387
