,Unnamed: 0,topic_num,topics,num_articles,resid,category,probability
0,0,0,zoom financ file photo film festiv filter final,3521,1.0,local,92.90624246681475
1,1,1,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
2,2,2,player team game leagu season play hockey nhl,304,0.9696705177063156,sports,99.89273796241457
3,3,3,polic zoom finalist fil file photo film festiv,219,0.9685010715842738,local,83.51894312393786
4,4,4,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
5,5,5,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
6,6,6,cent price zoom figur file photo film festiv,0,,local,82.62734545134009
7,7,7,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
8,8,8,north shore news fil file photo,133,0.9486723426972268,local,76.58385332259398
9,9,9,funer home forest lawn knapman,34,0.763171150619739,local,64.6732947809434
10,10,10,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
11,11,11,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
12,12,12,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
13,13,13,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
14,14,14,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
15,15,15,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
16,16,16,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
17,17,17,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
18,18,18,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
19,19,19,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
20,20,20,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
21,21,21,bowen financ minist file photo film festiv filter final finalist,0,,local,87.37381585311446
22,22,22,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
23,23,23,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
24,24,24,key number cycl energi month,16,0.6283593120790225,local,30.4602955290002
25,25,25,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
26,26,26,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
27,27,27,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
28,28,28,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
29,29,29,film student product burnabi school home screen drug,0,,local,49.856008614616506
30,30,30,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
31,31,31,film zoom financ file photo festiv filter final,70,0.9490039717458736,local,92.90624246681475
32,32,32,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
33,33,33,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
34,34,34,drug figur file photo film festiv filter final,31,0.9295852208521408,local,69.70070191760374
