,Unnamed: 0,topic_num,topics,num_articles,resid,category,probability
0,0,0,zoom financ file photo film festiv filter final,70,1.0,local,92.90624246681475
1,1,1,peopl year covid health new work time home,3588,0.9829756363244312,lifestyle,51.82363959294632
2,2,2,player team game season leagu play hockey nhl,272,0.9453707033760006,sports,99.89273796241457
3,3,3,polic investig man offic charg rcmp incid vehicl,182,0.9447395689369552,local,73.82031747112553
4,4,4,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
5,5,5,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
6,6,6,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
7,7,7,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
8,8,8,north shore news vancouv mcgrath paul,99,0.9190286317312932,local,84.00362318691307
9,9,9,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
10,10,10,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
11,11,11,funer home forest lawn knapman arrang,34,0.7345029412149305,local,64.6732947809434
12,12,12,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
13,13,13,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
14,14,14,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
15,15,15,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
16,16,16,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
17,17,17,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
18,18,18,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
19,19,19,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
20,20,20,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
21,21,21,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
22,22,22,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
23,23,23,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
24,24,24,key number cycl energi month,16,0.6487608364083155,local,30.4602955290002
25,25,25,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
26,26,26,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
27,27,27,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
28,28,28,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
29,29,29,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
30,30,30,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
31,31,31,film festiv movi theatr documentari oscar screen,41,0.910764933213672,local,98.13226181235467
32,32,32,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
33,33,33,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
34,34,34,drug overdos death illicit suppli opioid,26,0.8739105337267663,local,44.785833261871716
