,topic_num,topics,num_articles,resid
0,0,famili just time peopl year home life work,347,0.9643423619241797
1,1,case health test covid new death outbreak hospit,117,0.9051826805365589
2,2,polic investig man offic charg rcmp vehicl incid,165,0.9310962597237173
3,3,player team game leagu season play nhl coach,138,0.9198536335039564
4,4,busi govern program pandem tax fund work billion,185,0.9506039246985871
5,5,car wheel vehicl engin drive rear litr model,59,0.8817325807004694
6,6,mask wear face cover public mandatori health,50,0.8593164873646785
7,7,reopen stage restaur ontario park open citi provinc,109,0.9450696654734769
8,8,cent price sale market home hous real estat,84,0.9295564573777216
9,9,music perform artist art concert film musician song,113,0.9421507357040999
10,10,ridg mapl editor letter meadow pleas email,61,0.9083626503080179
11,11,langley chilliwack rcmp surrey com read local facebook,141,0.9526195263141312
12,12,canada flight court china canadian trump travel countri,156,0.9576508121998923
13,13,trudeau minist chariti prime program govern ethic,40,0.8627538578640633
14,14,jay blue roger centr season game toronto,21,0.7454356606089136
