,Unnamed: 0,topic_num,topics,num_articles,resid,category,probability
0,0,0,famili just time peopl year home life day,222,0.9599327888715417,lifestyle,86.34332867343636
1,1,1,case health test covid new death outbreak hospit,118,0.9015155601422482,covid-19,98.14520422107961
2,2,2,polic investig man offic charg rcmp vehicl incid,168,0.9294108344453184,local,73.82031747112553
3,3,3,player team game leagu season play nhl coach,143,0.9178456843152658,sports,99.89941773340205
4,4,4,busi govern program tax billion pandem fund feder,190,0.9480693719560968,politics,83.63288335314805
5,5,5,car wheel vehicl engin drive rear litr model,71,0.8842088189688868,business,98.15494930876528
6,6,6,mask wear face cover mandatori public,53,0.8525826751281416,covid-19,97.75707049492954
7,7,7,reopen stage restaur ontario open park citi theatr,121,0.9442879329715259,covid-19,77.77359581584807
8,8,8,cent price sale market home real estat hous,101,0.9301746698266609,business,99.74569766877778
9,9,9,music perform artist art concert film musician song,130,0.9407192495868716,arts & entertainment,99.82064862317387
10,10,10,ridg mapl editor meadow letter mapleridgenews com,57,0.8955062547105525,local,95.52125950133632
11,11,11,langley chilliwack rcmp surrey com read facebook local,151,0.9485125592734892,local,99.89822037244785
12,12,12,flight canada court china trump canadian travel countri,199,0.9577203864284298,politics,70.61366865569852
13,13,13,trudeau minist chariti prime program ethic student,41,0.8551938363982081,politics,98.96791534698403
14,14,14,jay blue roger centr season game toronto,21,0.7075581722897568,sports,99.33893083946114
