,Unnamed: 0,topic_num,topics,num_articles,resid,category,probability
0,0,0,zoom financ file photo film festiv filter final,3256,1.0,local,92.90624246681475
1,1,1,case health covid test new provinc outbreak,244,0.958889939875384,covid-19,99.21227700447609
2,2,2,player team game leagu season play hockey nhl,324,0.9670476937421728,sports,99.89273796241457
3,3,3,polic investig offic man charg incid rcmp vehicl,213,0.9637074754468324,local,73.82031747112553
4,4,4,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
5,5,5,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
6,6,6,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
7,7,7,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
8,8,8,north shore news vancouv photo,140,0.9467592977556591,local,93.43521327010083
9,9,9,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
10,10,10,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
11,11,11,funer home forest lawn knapman,35,0.7432092215596736,local,64.6732947809434
12,12,12,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
13,13,13,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
14,14,14,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
15,15,15,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
16,16,16,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
17,17,17,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
18,18,18,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
19,19,19,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
20,20,20,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
21,21,21,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
22,22,22,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
23,23,23,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
24,24,24,key number cycl energi month,16,0.6103732858300893,local,30.4602955290002
25,25,25,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
26,26,26,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
27,27,27,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
28,28,28,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
29,29,29,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
30,30,30,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
31,31,31,film festiv movi zoom figur file photo,66,0.9443108994207192,local,93.5518745951166
32,32,32,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
33,33,33,zoom financ file photo film festiv filter final,0,,local,92.90624246681475
34,34,34,drug overdos death illicit file photo film festiv,34,0.9248083115018386,local,37.16957176733369
